Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,ID,Name,Stars,Title,Date,Description
12,0.047,0.762,0.191,0.9957,0.029380936,0.37678799,0.593831122,12,Dylin,3,The King of Mid-Range Gaming? (With a Few Quirks),,"The Intel Core i5-13600K is the latest champion in the mid-range desktop processor arena, promising top-notch gaming performance and efficient multitasking. But does it reign supreme, or face dethronement by rivals? Let's sharpen our critical swords and delve into its strengths and weaknesses:Pros:Performance Powerhouse: 14 cores (6 P-cores + 8 E-cores) and 20 threads deliver exceptional performance for gaming, content creation, and demanding workloads. Compared to its predecessor, the 12600K, it offers a significant performance leap.Gaming Prowess: Tears through even the most graphically demanding games with ease, boasting high frame rates and smooth gameplay at 1080p and beyond.Multitasking Maestro: Handles heavy multitasking like a champ, effortlessly juggling multiple applications, browser tabs, and demanding tasks simultaneously.Overclocking Champion: Unlocked multiplier allows for enthusiast-level overclocking, squeezing even more performance out of the silicon for those seeking ultimate power.DDR5 and PCIe 5.0 Support: Future-proofed with support for the latest DDR5 memory and PCIe 5.0 technology, ensuring compatibility with cutting-edge hardware upgrades.Cons:Power Hungry Prince: This performance comes at a cost, with a higher TDP (125W) and potential for increased power consumption compared to lower-power alternatives.Temperature Tantrums: Can run hot under heavy load, requiring beefy cooling solutions to maintain optimal performance and prevent thermal throttling.Pricey Pedigree: Carries a premium price tag compared to some Ryzen 5 competitors offering similar performance in certain scenarios.Windows 11 Preference: While technically compatible with Windows 10, Intel recommends Windows 11 for optimal performance and feature utilization.Motherboard Matchmaking: Requires a newer LGA 1700 motherboard, adding to the overall upgrade cost.Verdict:The Intel Core i5-13600K is a force to be reckoned with in the mid-range gaming processor category. Its exceptional performance, overclocking potential, and future-proof compatibility make it a tempting choice for serious gamers and creators. However, the higher power consumption, price tag, and potential thermal issues require careful consideration.Overall Rating: 4.5 out of 5 stars (with a slight temperature-related deduction)Should You Buy It?Absolutely! If you're a hardcore gamer or demanding content creator seeking the best value for performance in the mid-range, and aren't afraid of a little thermal taming, the 13600K is a top contender.Consider alternatives: If budget, power consumption, or Windows 10 compatibility are major concerns, explore Ryzen 5 options or consider the slightly less powerful (and cooler) i5-13500."
13,0.072,0.928,0,-0.6355,0.84303093,0.143539995,0.013429048,13,Sai,3,Not compatible with ASRock Steel Legend ATX,,"Bios flash to update the motherboard for it to be able to use this 13th gen CPU, but the flash didn't work so the CPU could never be read by my ASRock Steel Legend motherboard. I have to buy a 12th gen CPU instead because of this problem assuming its the CPU that wasn't compatible with it."
14,0.052,0.871,0.077,0.1007,0.063793555,0.775940835,0.160265565,14,Stefano Bruni,4,Intel Core i3-13100 processor 12 MB Smart Cache Box,,"CPU Intel Core i3 di tredicesima generazione molto prestante, si puÃ² usare sia per il gaming che per il lavoro a livello professionale. L'ho testato un pÃ² e posso dire che funziona davvero bene, non ha dato segni di cedimento e non si surriscalda in modo eccessivo.E' stato consegnato dovutamente imballato e nei giorni previsti da Amazon!"
15,0.086,0.687,0.227,0.5095,0.290437579,0.463952482,0.245609999,15,Emmanuel,4,Caliente pero rÃ¡pido,,"The only downside I see is that it heats up very quickly. However, with good ventilation, it pounds very well."
16,0,0.635,0.365,0.634,0.130370766,0.403052241,0.466576964,16,Amazon Customer,4,Not bad but get hot,,Not bad but gets hot when using like photoshop or whatever
17,0,0.73,0.27,0.5719,0.00235706,0.018165676,0.979477286,17,Jennifer W.,4,Great,,"Building my own computer, this product is perfect for what I need"
18,0,0.676,0.324,0.9169,0.024765644,0.122361079,0.852873266,18,Don,4,A workhorse,,"A great cPU, good value for money, I got mine during the Black Friday sale but do not use it for gaming. Good power as long as it is paired with a good motherboard, Ram and storage."
19,0,0.862,0.138,0.1531,0.049128134,0.347747624,0.603124261,19,Alex Campbell,4,"Decent, still overpriced",,"Solid update from the 12 series, still selling for too much"
20,0,0.924,0.076,0.3182,0.086465321,0.741919219,0.171615452,20,FuegoDentro,4,This is one spicy processor. I spent 2 whole day trying to undervolt and under lock it,,I am using it for a SFF build so not really the target market so if you are on the same boat then be sure to make time to tweak it.
21,0.231,0.594,0.175,-0.4184,0.004704427,0.044083927,0.951211631,21,RonnieBlaz3,4,Beast of a gaming CPU!!,,"No bottleneck here! i5 13600K is beast! Intel definitely made one hell of a gaming CPU, that performs better than 5800x3d and itâs cheaper."
22,0,0.707,0.293,0.4404,0.033991996,0.810932696,0.155075312,22,Rowena H.,5,big upgrade. works good.,,easy hookup for USB and external SATA drives.
23,0,0.661,0.339,0.6288,0.002479418,0.026641741,0.970878899,23,itzcohuatl,5,genial y super recomendable,,"I liked it a lot, I bought it for gaming and I don't regret my purchase"
24,0,1,0,0,0.007048285,0.480462998,0.512488723,24,Renato V,5,Good CPU,,I am using it with a 4070 ti. Runs everything over 90 FPS in 1440p with ultra graphics!
25,0,0.584,0.416,0.7796,0.002094395,0.039630961,0.958274662,25,Cooper Martin,5,AMAZING,,Great for mid range overclocking and pairs well with almost anything. Worth it 100%.
26,0.039,0.759,0.203,0.9051,0.002495419,0.032772634,0.964731991,26,Justin,5,Great cpu for gaming,,"Upgraded from an i7 8700k and can say I am very happy with my upgrade. I got a noticeable jump in average fps, but the real improvement that can be felt while gaming was the increase in 1% low frame rates.This processor is a strong performer for the price - especially if you consider using DDR4 RAM if youâre on a tight budget."
27,0.079,0.887,0.033,-0.4404,0.025493354,0.256868899,0.717637718,27,C. Kerekgyarto,5,13th Gen rules,,Went from i7 7700 to i5 12400f to i5 13600k. This processor is going to be in my machine for the next couple years. Probably gonna skip 14th Gen unless itâs mind blowingly better.I am paired with a 3070 Ti currently. I would have no worries pairing this with any 40 series card. I might wait for next gen GPUs as well.
28,0.026,0.974,0,-0.1779,0.031484094,0.430181861,0.538334072,28,Houssam Farag,5,set the cpu lite load to mode 1,,"temps was going crazy high, 100c in 3 of the 6 p cores with msi z690 edge but cinebench complete without throttling,found cpu lite load in oc settings on the board on mode12the cpu was drawing around 225 watt and this was beyond the cpu specs which is 180 wattchanged cpu lite load to mode 1now the max temps are 87 and watt is around 195great CPU"
29,0.117,0.708,0.175,0.34,0.046007466,0.237451822,0.716540694,29,Helen O Vance,5,Best CPU for the money today!,,For gaming this CPU is the best investment you can make... Only weakness is multitasking high end video editing...
30,0,1,0,0,0.010549896,0.32367152,0.665778577,30,Amazon Customer,5,One of the best budget CPU's,,"swapped out my 10850k @5Ghz for this chip, and across the board outperforms it for less power and thermals"
31,0,0.892,0.108,0.4404,0.036364697,0.502829492,0.460805804,31,RB,5,Best bang for the buck today,,"Get a good Z790 chipset motherboard, and overclock this thing to ~5.7 and you'll have the performance of a chip that's 2-3x the price for most users."
32,0,1,0,0,0.440795451,0.485274136,0.073930398,32,Wayne Lockwood,5,Runs nice and cool,,I thought the 13th generation Intel processor were suppose to run hot. This one does not with a 240mm radiator; with the radiator temperature is in the 30's while gaming. At idle 20s.
33,0.038,0.889,0.072,0.2401,0.009990192,0.139030397,0.850979447,33,Vipergtrdj,5,First Intel desktop for me,,"This is my first intel system I built. Always been AMD and saw the 13th gen out. Figured was worth a try. It did not disappoint. Only thing is the MSI board overvolts it stock, so temps were always hitting 100 degrees, even with water cooling. Set the Vcore to 1.2v and no longer getting hot."
34,0.101,0.839,0.061,-0.2263,0.501235425,0.374619871,0.124144711,34,Derek Zoolander,5,Savage CPU for the price,,absolutely annihilate everything I throw at it.if you're bot doing some serious rendering and only gaming then this CPU is for you.the 13600k should be good for another 10-15 years of gaming 5.10ghz 20 cores is enough to destroy anything you throw at it
35,0.102,0.758,0.14,0.25,0.002768494,0.014625305,0.982606173,35,Eduardo,5,EXCELENTE PRODUCTO,,"It is already installed on my computer is wonderful, it has not given me any problems and it performs in everything I need"
36,0.066,0.825,0.11,0.5959,0.003390298,0.026413957,0.970195711,36,my.corez,5,Blazing fast!,,"Paired the i5 13600k with MSI Z690-A Pro DDR4. Running P-Cores 5.4GHz and E-Cores 4.2GHz without any issues. Efficiency cores are powerful and they're equivalent to i7 9700k from few years ago. Scores 25,592 in Cinebench 23 with all cores, and 16,507 with E Cores disabled. Simply put, amazing! Can't ask for more. This CPU has no competition, period!"
37,0,0.644,0.356,0.8916,0.002707837,0.032124531,0.965167642,37,James,5,Sleeper CPU,,I think this CPU offers GREAT value for the money. I runs everything at full settings (with 3060 GPU) and stays cool with Noctua air cooling. Recommended!
38,0,0.371,0.629,0.9357,0.001892293,0.026989382,0.971118271,38,michael razor,5,Fantastic Chip!! Runs Cool!! And Super Fast!!,,Fantastic Chip!! Runs Cool!! And Super Fast!!Just buy it-You know you Want it!! :)
39,0.096,0.662,0.242,0.7798,0.003506005,0.024603076,0.971890867,39,DatBoomerGuy,5,Wow...This thing is FAST!,,"I upgraded from an i7-9700k to the i5-13600k. WOW! Huge difference. Faster load times, better gaming frame rates in games that depend on the CPU more than the GPU, no stuttering in intense games.I am impressed.Nice job, Intel."
40,0,0.549,0.451,0.6249,0.011897055,0.175401539,0.812701404,40,richard morin,5,compatibility Z-790 gigabites,,plug and plug. superb performance gaming
41,0.029,0.863,0.108,0.6597,0.024641981,0.17326802,0.802090049,41,James,5,Unreal performance for the price,,"Loving the price to performance with the 13600k, considering I made the upgrade from a 6700k. The technology is leaps and bounds for roughly same value.There is also no reason to choose an AMD5 CPU this year over the 13th gen Intel chips. Maybe a X3D but definitely not the 7000 series of CPUs."
42,0,0.915,0.085,0.3802,0.107888326,0.377366692,0.514744937,42,Gabe,5,Awesome CPU!,,This processor is blazing fast! The only con I can think of is the temps with factory motherboard settings. I'm sure the issue is the power settings from the motherboard
43,0,1,0,0,0.031171646,0.713688552,0.255139798,43,Jesse Jxmes,5,Low temps; but also runs everything flawlessly,,I had a 10700k before this. Day and night. Paired with a 4080 and it does 1440p 240hz on most titles without hiccups.
44,0.092,0.664,0.244,0.6258,0.013728475,0.192255497,0.794016063,44,Daniel Baldwin,5,Absurd value,,"Best value you can get right now, and it's really no compromise of performance compared to an i7 considering the price"
45,0,1,0,0,0.069753699,0.649901032,0.280345291,45,Muy lindo,5,Bueno,,Excelente product
46,0,0.649,0.351,0.7579,0.266570389,0.564439952,0.168989688,46,Tommy,5,Great cpu,,Upgrade my wife PC from an i5-8900k to help with WoW (didn't make a difference)
47,0,0.442,0.558,0.8442,0.002345972,0.024969509,0.972684503,47,Tommy,5,Good performance at a good price,,"Fit well, works well, enough said. Enjoying gaming on my new setup."
48,0.062,0.805,0.133,0.4754,0.002802167,0.025604697,0.971593142,48,J,5,Great chip,,I'm glad I waited for Raptor Lake because this chip is frequently outperforming the i7-12700k or is at least close enough to call it even. Upgrading from an i7-4770 to this chip has been insane. Highly recommend for gaming.
49,0.321,0.469,0.21,-0.1695,0.003044113,0.080235504,0.91672045,49,Christopher P. Holmes,5,Fast reliable CPU,,"Pairs VERY well with the 3080. No stuttering, fast speeds!"
50,0,1,0,0,0.007432484,0.161543757,0.831023753,50,John Nguyen,5,Upgraded from i5 3570k,,Web pages load much faster.
51,0,0.902,0.098,0.0772,0.006247397,0.274984568,0.71876806,51,Garret Voelkers,5,13th Gen Intel can do it,,"Whatever it is you want to acheive, 13th Gen Intel can do it."
52,0,0.823,0.177,0.5325,0.003052674,0.055051904,0.941895425,52,Fox Mulder,5,Perfetto,,"It heats very little and is perfect for home use, such as internet browsing, office package, youtube"
53,0,0.461,0.539,0.6892,0.001638828,0.010745737,0.987615466,53,Tanja Ritter,5,Alles super!,,Fast delivery! Everything was great!
54,0,0.715,0.285,0.4927,0.003371228,0.038150255,0.95847851,54,Jose,5,Fue una oportunidad,,I bought© it because it was at a very good price
55,0.224,0.204,0.571,0.5267,0.013983288,0.151391506,0.834625244,55,Andri Pierre-Yves,5,Bon prix !,,"No surprises, excellent performance/price ratio"
56,0,0.948,0.052,0.3612,0.005823465,0.334279865,0.659896672,56,Technopaul,5,Exelent rapport qualitÃ© prix,,"Also serves my MSI MPG B760I EDGE WIFI PC Intel I3 13100 4300mhz and Radeon RX7600 card which displays 4K on the screenRuns at 4300mhz on 2 cores ©and 4500mhz on one coreQuite satisfactory, excellent©activity©, 3D CAD modeling©activity©, Prusa Slicer excellente rÃ©activitÃ©, activitÃ© modÃ©lisation CAO 3D, Prusa Slicer"
57,0,0.469,0.531,0.5267,0.135900259,0.755644262,0.108455516,57,J. R. Cummings,5,It works as expected,,Ideal for my use.
58,0,0.556,0.444,0.4927,0.003621096,0.066292383,0.930086553,58,Omar,5,Excelente producto.,,A very good and fast processor
59,0,0.558,0.442,0.8591,0.006720294,0.07778959,0.915490091,59,J. Silent,5,Gute Office CPU,,"Good value for money. Economical and perfectly sufficient for the normal, non-gaming Office PC user."
60,0,0.704,0.296,0.6369,0.002912167,0.037739653,0.959348202,60,Jose Perez Perez,5,"RelaciÃ³n calidad precio, segunda mano.",,"It works perfectly, despite being in i3 the P C works very smoothly."
61,0,0.58,0.42,0.4404,0.005490617,0.281813353,0.712696075,61,raffaele,5,Buon processore,,Paired with a good sliver setup
62,0,0.746,0.254,0.7003,0.002267523,0.038041405,0.959691107,62,Roberto,5,Ottimo,,As for performance it is better than an i7 series 7.Plus being a 4 core it is also good for gaming.
63,0,0.704,0.296,0.6369,0.004747416,0.088710882,0.906541765,63,Hardwaremaster1,5,Leistung,,"new i3 for office computers MSOffice etc. perfectly sufficient, performance fits."
64,0,0.833,0.167,0.6369,0.002197973,0.073123664,0.924678326,64,Santa Marina,5,INTEL CORE I3 - 13100 - 13 generaciÃ³n,,"IntelÂ® Coreâ""¢ i3-13100 Desktop 12MB Cache, installed and working perfectly on asus tuf gaming b 760m plus board. The shipment also©arrived very quickly"
65,0,0.674,0.326,0.5242,0.002523929,0.023241503,0.974234581,65,Krishna Priyo Hazra,5,"5.0 out of 5 stars
Deadliest Processor for Gaming",,Nice product.... You can go for it !!
66,0.031,0.81,0.159,0.9922,0.003687248,0.075849593,0.920463145,66,Steven,5,Unleash the Power of 14 Cores for Ultimate Desktop Performance!,,"The Intel Core i5-13600K (Latest Gen) Desktop Processor is a true powerhouse, delivering unparalleled performance with its 14 cores, consisting of 6 P-cores and 8 E-cores. This processor has far exceeded my expectations, providing seamless multitasking and blazing-fast performance for all my computing needs.The standout feature of the Intel Core i5-13600K is its 14 cores, making it one of the most powerful processors in its class. The 6 primary cores (P-cores) are designed for single-threaded tasks and applications, ensuring lightning-fast responsiveness and smooth user experience. Additionally, the 8 efficient cores (E-cores) cater to multithreaded workloads, providing exceptional multitasking capabilities and maximizing productivity.With the latest generation technology, the i5-13600K unleashes the true potential of Intel's cutting-edge processor architecture. Whether I'm gaming, streaming, video editing, or running intensive software applications, this processor handles it all with ease.The integrated graphics of the i5-13600K eliminate the need for a discrete graphics card for everyday tasks and light gaming, providing a cost-effective and space-saving solution for those who don't require dedicated graphics processing.The unlocked multiplier of this processor allows for easy overclocking, making it an excellent choice for enthusiasts and gamers who want to push their system's performance even further.I appreciate the low power consumption of the i5-13600K despite its impressive performance, contributing to energy efficiency and reduced operating costs.The Intel Core i5-13600K is compatible with the latest motherboard chipsets, ensuring seamless integration and future upgradability.Intel is a trusted brand known for producing high-quality processors, and the i5-13600K continues that legacy, providing a reliable and stable computing experience.In conclusion, the Intel Core i5-13600K (Latest Gen) Desktop Processor with its 14 cores is a performance beast, capable of handling the most demanding computing tasks with ease. Its balanced combination of P-cores and E-cores, unlocked multiplier, integrated graphics, and energy efficiency make it an ideal choice for power users and gamers alike. If you're looking to unleash the full potential of your desktop, the Intel Core i5-13600K is the ultimate processor that won't disappoint. I highly recommend this processor for its outstanding performance and the incredible multitasking capabilities it brings to my computing experience!"
67,0,0.632,0.368,0.8213,0.001088184,0.013601918,0.985309899,67,Joje LIBRE,5,Great Buy!,,i5 1X600Ks are always that sweet spot!Great thermals and excellent performance!Time to buy a 7900 XTX!
68,0,0.531,0.469,0.8375,0.002082232,0.025507187,0.972410619,68,Antonio herrera,5,Excelente procesador,,It is a bit hot but with very good performance I recommend it
69,0.265,0.735,0,-0.5574,0.374918133,0.566510975,0.058570858,69,FHurtz,5,ReÃ§u en bon Ã©tat et rapidement,,Creation©of a new computer to replace my old one that died suddenly.
70,0.061,0.842,0.097,0.4767,0.049327035,0.442346513,0.508326471,70,JoÃ£o Paulo,5,Excelente!!,,"Its Intel doesnât, just put it in and thats its itâs Logic that you can configure some things to have more performance. But basically it's just saying that it's going to perform great. About Durability or if there will be any problem, only time can show. algum problema,  tempo pode mostrar."
71,0,1,0,0,0.064483307,0.589839578,0.345677108,71,YUDI UTOMO,5,Super fast delivery in perfect condition,,Ahoy captain
72,0,0.769,0.231,0.6369,0.011160734,0.125436798,0.863402486,72,Alex trejo,5,Una bestia,,"It is a beast of a processor, to mount from a 3060 to a 4090, one of the best"
73,0.045,0.832,0.122,0.9256,0.08029741,0.270075679,0.649626911,73,Just a dude,5,From 9600k to this.,,"Words cannot describe the change in performance.I thought my 9600k was still a decent chip before I upgraded. Now I see although it was decent, I was missing a lot. My rtx 2080 super didnât get upgraded this year but Iâm sure itâll need to by next year as itâs now always peaked at 100% in games. While my gpu works a sweat trying to not burn itself to the ground, this 13600k sits around 20-30% usage and around 50 degrees Celsius in most situations.Depending on the motherboard, you may want to tweak âCPU lite loadâ settings. My MSI mobo defaulted to mode 12 and was causing overheating issues due to current. Now dialed back to mode 9, I have lost no performance what so ever, I actually gained almost a thousand extra points in cinebench by not letting it get hot.Overall Iâm very happy and would highly recommend this cpu to anyone."
74,0,0.654,0.346,0.8777,0.001482143,0.036544781,0.961973071,74,Paollo,5,Setup pc gamer!,,"The i5 13600k processor is perfectly suited for my daily use, in photo and video editing casually, as well as©for common leisure entertainment and games!"
75,0.209,0.706,0.085,-0.3903,0.006878981,0.031046497,0.962074578,75,DAVIDE KANETI,5,Very good CPU for its class,,"read the online reviews and I'm not disappointed,very good value for money, works perfectly.highly recommended for a budget PC."
76,0,0.968,0.032,0.3291,0.010253643,0.154322013,0.835424364,76,Amazon Customer,5,This thing is a beast,,"This processor was on the higher end of my budget, but oh man it was worth it. 6p, 8e cores totalling to 20 threads gives me ample compute to do all sorts of intensive tasks. I can run Cyberpunk 2077 at 1440p 60fps on ultra settings, run LLM workloads, transcode video and audio on the fly, all at the same time, and the processor will only be at 60% usage on all threads."
77,0,0.769,0.231,0.8883,0.021159671,0.165507704,0.813332617,77,high quality. does exactly what is supposed to do.fast transferring data.,5,best mid to high rank cpu right now,,beast for gaming you'll never feel any bottlenecks with 99.9 % of any titlespair very nice with 4070ti.the temperatures are never over 60 under heavy load.if you care about longevity of cpu this is the best pick for you.
78,0,0.687,0.313,0.4927,0.002863794,0.032213517,0.964922607,78,Carlos,5,Qualidade Reconhecida,,Very good. It serves the purposes it proposes
79,0.049,0.811,0.14,0.4831,0.003931355,0.030799717,0.96526897,79,Carina G.,5,Es muy bueno y veloz,,"I built this pc a month ago with this processor and it's crazy, it has a good temperature, it doesn't overheat with a 240mm liquid but it's very fast and it hasn't given me problems"
80,0,1,0,0,0.004037269,0.165844798,0.830117941,80,Christian,5,Todo bien,,Arrived on time and everything working properly
81,0,0.235,0.765,0.7579,0.003590041,0.020743079,0.975666881,81,EDSON R GONÃALVES,5,ExcelÃªncia,,"I liked it, excellent product."
82,0,0.513,0.487,0.5859,0.002353264,0.081293762,0.916353047,82,Rohit M,5,This is the sweet spot.,,"Currently running OC 5.3ghz , lovely."
83,0.17,0.83,0,-0.5106,0.061258186,0.227605179,0.711136699,83,Michael Strohl,5,This is the best value for your buck at the moment.,,I have had no issues with this processor. The temps are low even when heavily gaming. This PC is gonna last a really long time.
84,0,1,0,0,0.006587138,0.255158037,0.738254845,84,Ivy,5,Great CPU,,"Fast clock speed, more than sufficient for everyday workloads, gaming, 3D rendering, and running heavy computations."
85,0,0.852,0.148,0.7783,0.003923597,0.036661938,0.959414482,85,Isaac,5,Great CPU,,I just built my first pc and I decided to go with this intel CPU. The pc has been running great and Iâve had now issues with anything Iâve tried to do with it. Itâs fast and can support both gaming and multitasking.
86,0.065,0.86,0.075,0.0772,0.005453728,0.163976908,0.830569386,86,Antonio,5,Intel Core i5-13600K,,"The product arrived well and sealed, in its petty box presentation, it handles temperatures of 60-70°C with a liquid cooling of 240 mm, quality-price product of 10/10"
87,0,0.385,0.615,0.4927,0.005257908,0.040906664,0.953835487,87,Stefani,5,Buen producto,,very good product
88,0,0.79,0.21,0.836,0.002454985,0.037763394,0.959781587,88,Aquarius,5,Excellent value for the money and a great sweet spot in the gaming CPU market.,,"I built myself and two sons computers for Christmas all based on this CPU and it has performed flawlessly on all three PC's. It was easy to install, keeps cool on air cooling, and has compatibility with many motherboards. Strongly recommended for gaming or general use computers."
89,0.141,0.508,0.352,0.7506,0.0540688,0.355819792,0.590111375,89,Les,5,Pretty hot,,Best bang on a budget for gaming. No need to pay 5 to 7 grand for top of the line computer.
90,0,0,1,0.3182,0.010133203,0.166413471,0.823453307,90,ãã¤ãã,5,cool.,,cool.
91,0.046,0.781,0.173,0.659,0.045901742,0.132150143,0.821948171,91,Fran,5,Great CPU,,Very nice CPU and easy to install. Always feels awkward holding this tiny piece of metal and mounting it to the motherboard. Handles the tasks I need and never had issues.
92,0,0.595,0.405,0.8979,0.001452422,0.019599073,0.978948534,92,Chris,5,Huge upgrade over my old i7 2600,,Massive upgrade from my older i7 2600.  Very fast and works perfectly. Watch for great pricing around the holidays.
93,0.098,0.775,0.127,0.2144,0.003323635,0.051676624,0.944999754,93,Don Won,5,I really like this CPU,,"I have great fps, and it stays cool under load. I'm running a 360 water cooler with it, and 6khz ddr5 ram. Longevity remains to be seen, but so far I can say, good job Intel. Full ultra settings with no less than 60fps in GW2 with 150+ players on the screen. 150+fps. with small group battles."
94,0,0.94,0.06,0.4939,0.048638102,0.348035753,0.603326142,94,Thom Harris,5,Best value for my needs,,"I got the i5-13600K to meet my immediate needs for my new HTPC build which is also used for video creation. Because I'm not in a real rush to create and edit my short videos, this processor is all I need now and in the immediate future. Realizing that the LGA1700 processors may end production soon, I can still upgrade to the i7 and i9 to keep pace with ubiquitous software bloat."
95,0.015,0.788,0.198,0.9827,0.065133244,0.32413128,0.610735476,95,Michelle Stone,5,I like a processor that also has graphics,,"I bought this to build a gaming pc with. But I like CPUs that have a graphics option. This gives me a little wiggle room when I'm debugging a system. When I'm putting it together, I can get the mother board assembly out without plugging in a GPU.I'm using this in a pc that primarily plays World of Warcraft. A core I5 is plenty for that. I'm sure an I3 is more than adequate. I'm using a Deep Cool cooler in a well ventilated case and it doesn't get above 72 degrees celsius, 51 degrees over ambient. I'm not a CPU snob and have used AMD and Intel equally over the years. I wanted thunderbolt ports and that pretty much limited me to Intel this go around. I am not disappointed. My machine gives me all the performance I need. FWIW, I'm running a 7800XT GPU in the system if that is of any interest."
96,0,0.865,0.135,0.3612,0.010159719,0.806393325,0.183446944,96,Steverollin,5,Great CPU for air cooling,,I run this with the cooler NH-U12A and max temp 60C running games like Cyberpunk and Helldivers 2.
97,0.03,0.818,0.152,0.9816,0.038213883,0.283277988,0.678508103,97,Ken,5,Amazing CPU for gaming,,"There's really not much that needs to be said. If you're upgrading to 13th gen Intel, and don't require the additional non-gaming related benefits of 13700k or 13900k, you can't go wrong with the i5-13600k. Even with XMP enabled to 6000Mhz & a Noctua NH-U12A tower cooler on top, this beast never gets truly hot in any game. Granted, I have a very good case for airflow, but regardless it's extremely rare I ever see this CPU hitting the 70's when gaming (this includes 1440p gaming at basically maxed settings), with plenty of utilization headroom on top of that. I paired this beastly CPU with the Sapphire Nitro Plus Radeon 6950XT & have been having an amazing experience all around. If you're deeply considering 13th gen, & your main focus is gaming, then the 13600k will perform up there with the best without all the additional heat the higher end SKU's give off. Genuinely give this CPU a 10/10, never in my life did I ever anticipate an i5 to be this great, but just goes to show it's more about the generation and less about the number after the i. If you're considering the CPU but unsure as to its performance, I promise you wont be disappointed with it one bit. Including with its temperatures. No under-volting needed."
98,0,0.917,0.083,0.6696,0.032088321,0.170591027,0.797320664,98,Raven Manuel,5,Love at first game ( After RIG upgrade),,"I waited for a black Friday deal to get this chip, and boy oh boy... I'm blown away! I upgraded from an I5-8600K and the difference was clear, it was not clear eye, it was a monster of a CPU that can tear through any game you throw at it... As long as you pair it with a motherboard that doesn't hold back the power that is this processor."
99,0.063,0.546,0.391,0.8313,0.000966762,0.009835948,0.989197314,99,Sam,5,Great workhorse,,"I have this in my newest rig and it is performing pretty well, very happy with the purchase"
100,0,0.739,0.261,0.7178,0.001269613,0.015758846,0.982971489,100,Marshall A.,5,Everything I expected.,,I got really lucky and got a high-performing chip.Totally pleased with it and the AI overclocking on my ASUS ROG board.
101,0,0.853,0.147,0.6124,0.004371231,0.04884598,0.946782768,101,Ian Jeffrey Raloff,5,"Great spped for main core, and plenty of other cores for VMs",,I like that the new PC I built does not slow down when spinning up a Linux VM in Hyper-V. The processor has plenty of threads and supports all the latest features and chipsets.
