Name,Stars,Title,Date,Description
Alex Campbell,4,"Decent, still overpriced",N/A,"Solid update from the 12 series, still selling for too much"
FuegoDentro,4,This is one spicy processor. I spent 2 whole day trying to undervolt and under lock it,N/A,I am using it for a SFF build so not really the target market so if you are on the same boat then be sure to make time to tweak it.
RonnieBlaz3,4,Beast of a gaming CPU!!,N/A,"No bottleneck here! i5 13600K is beast! Intel definitely made one hell of a gaming CPU, that performs better than 5800x3d and it’s cheaper."
Rowena H.,5,big upgrade. works good.,N/A,easy hookup for USB and external SATA drives.
itzcohuatl,5,genial y super recomendable,N/A,"I liked it a lot, I bought it for gaming and I don't regret my purchase"
Renato V,5,Good CPU,N/A,I am using it with a 4070 ti. Runs everything over 90 FPS in 1440p with ultra graphics!
Cooper Martin,5,AMAZING,N/A,Great for mid range overclocking and pairs well with almost anything. Worth it 100%.
Justin,5,Great cpu for gaming,N/A,"Upgraded from an i7 8700k and can say I am very happy with my upgrade. I got a noticeable jump in average fps, but the real improvement that can be felt while gaming was the increase in 1% low frame rates.This processor is a strong performer for the price - especially if you consider using DDR4 RAM if you’re on a tight budget."
C. Kerekgyarto,5,13th Gen rules,N/A,Went from i7 7700 to i5 12400f to i5 13600k. This processor is going to be in my machine for the next couple years. Probably gonna skip 14th Gen unless it’s mind blowingly better.I am paired with a 3070 Ti currently. I would have no worries pairing this with any 40 series card. I might wait for next gen GPUs as well.
Houssam Farag,5,set the cpu lite load to mode 1,N/A,"temps was going crazy high, 100c in 3 of the 6 p cores with msi z690 edge but cinebench complete without throttling,found cpu lite load in oc settings on the board on mode12the cpu was drawing around 225 watt and this was beyond the cpu specs which is 180 wattchanged cpu lite load to mode 1now the max temps are 87 and watt is around 195great CPU"
Helen O Vance,5,Best CPU for the money today!,N/A,For gaming this CPU is the best investment you can make... Only weakness is multitasking high end video editing...
Amazon Customer,5,One of the best budget CPU's,N/A,"swapped out my 10850k @5Ghz for this chip, and across the board outperforms it for less power and thermals"
RB,5,Best bang for the buck today,N/A,"Get a good Z790 chipset motherboard, and overclock this thing to ~5.7 and you'll have the performance of a chip that's 2-3x the price for most users."
Wayne Lockwood,5,Runs nice and cool,N/A,I thought the 13th generation Intel processor were suppose to run hot. This one does not with a 240mm radiator; with the radiator temperature is in the 30's while gaming. At idle 20s.
Vipergtrdj,5,First Intel desktop for me,N/A,"This is my first intel system I built. Always been AMD and saw the 13th gen out. Figured was worth a try. It did not disappoint. Only thing is the MSI board overvolts it stock, so temps were always hitting 100 degrees, even with water cooling. Set the Vcore to 1.2v and no longer getting hot."
Derek Zoolander,5,Savage CPU for the price,N/A,absolutely annihilate everything I throw at it.if you're bot doing some serious rendering and only gaming then this CPU is for you.the 13600k should be good for another 10-15 years of gaming 5.10ghz 20 cores is enough to destroy anything you throw at it
Eduardo,5,EXCELENTE PRODUCTO,N/A,"It is already installed on my computer is wonderful, it has not given me any problems and it performs in everything I need"
my.corez,5,Blazing fast!,N/A,"Paired the i5 13600k with MSI Z690-A Pro DDR4. Running P-Cores 5.4GHz and E-Cores 4.2GHz without any issues. Efficiency cores are powerful and they're equivalent to i7 9700k from few years ago. Scores 25,592 in Cinebench 23 with all cores, and 16,507 with E Cores disabled. Simply put, amazing! Can't ask for more. This CPU has no competition, period!"
James,5,Sleeper CPU,N/A,I think this CPU offers GREAT value for the money. I runs everything at full settings (with 3060 GPU) and stays cool with Noctua air cooling. Recommended!
michael razor,5,Fantastic Chip!! Runs Cool!! And Super Fast!!,N/A,Fantastic Chip!! Runs Cool!! And Super Fast!!Just buy it-You know you Want it!! :)
DatBoomerGuy,5,Wow...This thing is FAST!,N/A,"I upgraded from an i7-9700k to the i5-13600k. WOW! Huge difference. Faster load times, better gaming frame rates in games that depend on the CPU more than the GPU, no stuttering in intense games.I am impressed.Nice job, Intel."
richard morin,5,compatibility Z-790 gigabites,N/A,plug and plug. superb performance gaming
James,5,Unreal performance for the price,N/A,"Loving the price to performance with the 13600k, considering I made the upgrade from a 6700k. The technology is leaps and bounds for roughly same value.There is also no reason to choose an AMD5 CPU this year over the 13th gen Intel chips. Maybe a X3D but definitely not the 7000 series of CPUs."
Gabe,5,Awesome CPU!,N/A,This processor is blazing fast! The only con I can think of is the temps with factory motherboard settings. I'm sure the issue is the power settings from the motherboard
Jesse Jxmes,5,Low temps; but also runs everything flawlessly,N/A,I had a 10700k before this. Day and night. Paired with a 4080 and it does 1440p 240hz on most titles without hiccups.
Daniel Baldwin,5,Absurd value,N/A,"Best value you can get right now, and it's really no compromise of performance compared to an i7 considering the price"
Muy lindo,5,Bueno,N/A,Excelente product
Tommy,5,Great cpu,N/A,Upgrade my wife PC from an i5-8900k to help with WoW (didn't make a difference)
Tommy,5,Good performance at a good price,N/A,"Fit well, works well, enough said. Enjoying gaming on my new setup."
J,5,Great chip,N/A,I'm glad I waited for Raptor Lake because this chip is frequently outperforming the i7-12700k or is at least close enough to call it even. Upgrading from an i7-4770 to this chip has been insane. Highly recommend for gaming.
Christopher P. Holmes,5,Fast reliable CPU,N/A,"Pairs VERY well with the 3080. No stuttering, fast speeds!"
John Nguyen,5,Upgraded from i5 3570k,N/A,Web pages load much faster.
Garret Voelkers,5,13th Gen Intel can do it,N/A,"Whatever it is you want to acheive, 13th Gen Intel can do it."
Fox Mulder,5,Perfetto,N/A,"It heats very little and is perfect for home use, such as internet browsing, office package, youtube"
Tanja Ritter,5,Alles super!,N/A,Fast delivery! Everything was great!
Jose,5,Fue una oportunidad,N/A,I bought� it because it was at a very good price
Andri Pierre-Yves,5,Bon prix !,N/A,"No surprises, excellent performance/price ratio"
Technopaul,5,Exelent rapport qualité prix,N/A,"Also serves my MSI MPG B760I EDGE WIFI PC Intel I3 13100 4300mhz and Radeon RX7600 card which displays 4K on the screenRuns at 4300mhz on 2 cores ��and 4500mhz on one coreQuite satisfactory, excellent�activity�, 3D CAD modeling�activity�, Prusa Slicer excellente réactivité, activité modélisation CAO 3D, Prusa Slicer"
J. R. Cummings,5,It works as expected,N/A,Ideal for my use.
Omar,5,Excelente producto.,N/A,A very good and fast processor
J. Silent,5,Gute Office CPU,N/A,"Good value for money. Economical and perfectly sufficient for the normal, non-gaming Office PC user."
Jose Perez Perez,5,"Relación calidad precio, segunda mano.",N/A,"It works perfectly, despite being in i3 the P C works very smoothly."
raffaele,5,Buon processore,N/A,Paired with a good sliver setup
Roberto,5,Ottimo,N/A,As for performance it is better than an i7 series 7.Plus being a 4 core it is also good for gaming.
Hardwaremaster1,5,Leistung,N/A,"new i3 for office computers MSOffice etc. perfectly sufficient, performance fits."
Santa Marina,5,INTEL CORE I3 - 13100 - 13 generación,N/A,"Intel® Core�""� i3-13100 Desktop 12MB Cache, installed and working perfectly on asus tuf gaming b 760m plus board. The shipment also�arrived very quickly"
Krishna Priyo Hazra,5,"5.0 out of 5 stars
Deadliest Processor for Gaming",N/A,Nice product.... You can go for it !!
Steven,5,Unleash the Power of 14 Cores for Ultimate Desktop Performance!,N/A,"The Intel Core i5-13600K (Latest Gen) Desktop Processor is a true powerhouse, delivering unparalleled performance with its 14 cores, consisting of 6 P-cores and 8 E-cores. This processor has far exceeded my expectations, providing seamless multitasking and blazing-fast performance for all my computing needs.The standout feature of the Intel Core i5-13600K is its 14 cores, making it one of the most powerful processors in its class. The 6 primary cores (P-cores) are designed for single-threaded tasks and applications, ensuring lightning-fast responsiveness and smooth user experience. Additionally, the 8 efficient cores (E-cores) cater to multithreaded workloads, providing exceptional multitasking capabilities and maximizing productivity.With the latest generation technology, the i5-13600K unleashes the true potential of Intel's cutting-edge processor architecture. Whether I'm gaming, streaming, video editing, or running intensive software applications, this processor handles it all with ease.The integrated graphics of the i5-13600K eliminate the need for a discrete graphics card for everyday tasks and light gaming, providing a cost-effective and space-saving solution for those who don't require dedicated graphics processing.The unlocked multiplier of this processor allows for easy overclocking, making it an excellent choice for enthusiasts and gamers who want to push their system's performance even further.I appreciate the low power consumption of the i5-13600K despite its impressive performance, contributing to energy efficiency and reduced operating costs.The Intel Core i5-13600K is compatible with the latest motherboard chipsets, ensuring seamless integration and future upgradability.Intel is a trusted brand known for producing high-quality processors, and the i5-13600K continues that legacy, providing a reliable and stable computing experience.In conclusion, the Intel Core i5-13600K (Latest Gen) Desktop Processor with its 14 cores is a performance beast, capable of handling the most demanding computing tasks with ease. Its balanced combination of P-cores and E-cores, unlocked multiplier, integrated graphics, and energy efficiency make it an ideal choice for power users and gamers alike. If you're looking to unleash the full potential of your desktop, the Intel Core i5-13600K is the ultimate processor that won't disappoint. I highly recommend this processor for its outstanding performance and the incredible multitasking capabilities it brings to my computing experience!"
Joje LIBRE,5,Great Buy!,N/A,i5 1X600Ks are always that sweet spot!Great thermals and excellent performance!Time to buy a 7900 XTX!
Antonio herrera,5,Excelente procesador,N/A,It is a bit hot but with very good performance I recommend it
FHurtz,5,Reçu en bon état et rapidement,N/A,Creation�of a new computer to replace my old one that died suddenly.
João Paulo,5,Excelente!!,N/A,"Its Intel doesn�t, just put it in and thats its it�s Logic that you can configure some things to have more performance. But basically it's just saying that it's going to perform great. About Durability or if there will be any problem, only time can show. algum problema,  tempo pode mostrar."
YUDI UTOMO,5,Super fast delivery in perfect condition,N/A,Ahoy captain
Alex trejo,5,Una bestia,N/A,"It is a beast of a processor, to mount from a 3060 to a 4090, one of the best"
Just a dude,5,From 9600k to this.,N/A,"Words cannot describe the change in performance.I thought my 9600k was still a decent chip before I upgraded. Now I see although it was decent, I was missing a lot. My rtx 2080 super didn’t get upgraded this year but I’m sure it’ll need to by next year as it’s now always peaked at 100% in games. While my gpu works a sweat trying to not burn itself to the ground, this 13600k sits around 20-30% usage and around 50 degrees Celsius in most situations.Depending on the motherboard, you may want to tweak “CPU lite load” settings. My MSI mobo defaulted to mode 12 and was causing overheating issues due to current. Now dialed back to mode 9, I have lost no performance what so ever, I actually gained almost a thousand extra points in cinebench by not letting it get hot.Overall I’m very happy and would highly recommend this cpu to anyone."
Paollo,5,Setup pc gamer!,N/A,"The i5 13600k processor is perfectly suited for my daily use, in photo and video editing casually, as well as�for common leisure entertainment and games!"
DAVIDE KANETI,5,Very good CPU for its class,N/A,"read the online reviews and I'm not disappointed,very good value for money, works perfectly.highly recommended for a budget PC."
Amazon Customer,5,This thing is a beast,N/A,"This processor was on the higher end of my budget, but oh man it was worth it. 6p, 8e cores totalling to 20 threads gives me ample compute to do all sorts of intensive tasks. I can run Cyberpunk 2077 at 1440p 60fps on ultra settings, run LLM workloads, transcode video and audio on the fly, all at the same time, and the processor will only be at 60% usage on all threads."
high quality. does exactly what is supposed to do.fast transferring data.,5,best mid to high rank cpu right now,N/A,beast for gaming you'll never feel any bottlenecks with 99.9 % of any titlespair very nice with 4070ti.the temperatures are never over 60 under heavy load.if you care about longevity of cpu this is the best pick for you.
Carlos,5,Qualidade Reconhecida,N/A,Very good. It serves the purposes it proposes
Carina G.,5,Es muy bueno y veloz,N/A,"I built this pc a month ago with this processor and it's crazy, it has a good temperature, it doesn't overheat with a 240mm liquid but it's very fast and it hasn't given me problems"
Christian,5,Todo bien,N/A,Arrived on time and everything working properly
EDSON R GONÇALVES,5,Excelência,N/A,"I liked it, excellent product."
Rohit M,5,This is the sweet spot.,N/A,"Currently running OC 5.3ghz , lovely."
Michael Strohl,5,This is the best value for your buck at the moment.,N/A,I have had no issues with this processor. The temps are low even when heavily gaming. This PC is gonna last a really long time.
Ivy,5,Great CPU,N/A,"Fast clock speed, more than sufficient for everyday workloads, gaming, 3D rendering, and running heavy computations."
,,,,
Isaac,5,Great CPU,N/A,I just built my first pc and I decided to go with this intel CPU. The pc has been running great and I’ve had now issues with anything I’ve tried to do with it. It’s fast and can support both gaming and multitasking.
Antonio,5,Intel Core i5-13600K,N/A,"The product arrived well and sealed, in its petty box presentation, it handles temperatures of 60-70�C with a liquid cooling of 240 mm, quality-price product of 10/10"
Stefani,5,Buen producto,N/A,very good product
Aquarius,5,Excellent value for the money and a great sweet spot in the gaming CPU market.,N/A,"I built myself and two sons computers for Christmas all based on this CPU and it has performed flawlessly on all three PC's. It was easy to install, keeps cool on air cooling, and has compatibility with many motherboards. Strongly recommended for gaming or general use computers."
Les,5,Pretty hot,N/A,Best bang on a budget for gaming. No need to pay 5 to 7 grand for top of the line computer.
ヘイくん,5,cool.,N/A,cool.
Fran,5,Great CPU,N/A,Very nice CPU and easy to install. Always feels awkward holding this tiny piece of metal and mounting it to the motherboard. Handles the tasks I need and never had issues.
Chris,5,Huge upgrade over my old i7 2600,N/A,Massive upgrade from my older i7 2600.  Very fast and works perfectly. Watch for great pricing around the holidays.
Don Won,5,I really like this CPU,N/A,"I have great fps, and it stays cool under load. I'm running a 360 water cooler with it, and 6khz ddr5 ram. Longevity remains to be seen, but so far I can say, good job Intel. Full ultra settings with no less than 60fps in GW2 with 150+ players on the screen. 150+fps. with small group battles."
,,,,
Thom Harris,5,Best value for my needs,N/A,"I got the i5-13600K to meet my immediate needs for my new HTPC build which is also used for video creation. Because I'm not in a real rush to create and edit my short videos, this processor is all I need now and in the immediate future. Realizing that the LGA1700 processors may end production soon, I can still upgrade to the i7 and i9 to keep pace with ubiquitous software bloat."
Michelle Stone,5,I like a processor that also has graphics,N/A,"I bought this to build a gaming pc with. But I like CPUs that have a graphics option. This gives me a little wiggle room when I'm debugging a system. When I'm putting it together, I can get the mother board assembly out without plugging in a GPU.I'm using this in a pc that primarily plays World of Warcraft. A core I5 is plenty for that. I'm sure an I3 is more than adequate. I'm using a Deep Cool cooler in a well ventilated case and it doesn't get above 72 degrees celsius, 51 degrees over ambient. I'm not a CPU snob and have used AMD and Intel equally over the years. I wanted thunderbolt ports and that pretty much limited me to Intel this go around. I am not disappointed. My machine gives me all the performance I need. FWIW, I'm running a 7800XT GPU in the system if that is of any interest."
Steverollin,5,Great CPU for air cooling,N/A,I run this with the cooler NH-U12A and max temp 60C running games like Cyberpunk and Helldivers 2.
Ken,5,Amazing CPU for gaming,N/A,"There's really not much that needs to be said. If you're upgrading to 13th gen Intel, and don't require the additional non-gaming related benefits of 13700k or 13900k, you can't go wrong with the i5-13600k. Even with XMP enabled to 6000Mhz & a Noctua NH-U12A tower cooler on top, this beast never gets truly hot in any game. Granted, I have a very good case for airflow, but regardless it's extremely rare I ever see this CPU hitting the 70's when gaming (this includes 1440p gaming at basically maxed settings), with plenty of utilization headroom on top of that. I paired this beastly CPU with the Sapphire Nitro Plus Radeon 6950XT & have been having an amazing experience all around. If you're deeply considering 13th gen, & your main focus is gaming, then the 13600k will perform up there with the best without all the additional heat the higher end SKU's give off. Genuinely give this CPU a 10/10, never in my life did I ever anticipate an i5 to be this great, but just goes to show it's more about the generation and less about the number after the i. If you're considering the CPU but unsure as to its performance, I promise you wont be disappointed with it one bit. Including with its temperatures. No under-volting needed."
Raven Manuel,5,Love at first game ( After RIG upgrade),N/A,"I waited for a black Friday deal to get this chip, and boy oh boy... I'm blown away! I upgraded from an I5-8600K and the difference was clear, it was not clear eye, it was a monster of a CPU that can tear through any game you throw at it... As long as you pair it with a motherboard that doesn't hold back the power that is this processor."
Sam,5,Great workhorse,N/A,"I have this in my newest rig and it is performing pretty well, very happy with the purchase"
Marshall A.,5,Everything I expected.,N/A,I got really lucky and got a high-performing chip.Totally pleased with it and the AI overclocking on my ASUS ROG board.
Ian Jeffrey Raloff,5,"Great spped for main core, and plenty of other cores for VMs",N/A,I like that the new PC I built does not slow down when spinning up a Linux VM in Hyper-V. The processor has plenty of threads and supports all the latest features and chipsets.
Kyle Schow,5,Golden age of Gaming CPU's is back,N/A,"Update 12-3-23: With the release of the 14ty generation CPUs. Intel barely clawed an extra 1-2% performance wise in the 14600k. Save your money and roll with the 13600k that continues to drop in price. This processor demolishes any workstation/gaming task I throw at it.Intel nailed the 13th gen i5 loading it up with 14 cores. This thing is a little devil in benchmarks, and for $300(at least) less than the 13900k, you can have a processor that stays in punching distance when gaming. Absolutely killer value of you want to build a gaming rig with a quality processor that doesn't eat $600. I recommend getting the K version just in case for some reason one time you boot and your GPU doesn't read, your computer still has a gui. If you decide to go with an Intel processor, this is the best price to performance option."
PharaohSteve,5,"""Thine Technological Triumph: A Sonnet for the Intel Core i5-13600K""",N/A,"Oh, Intel Core i5-13600K, thou art a marvel of technology,A desktop processor that doth claim superiority.With clock speeds swift and cores so many,Thou art a powerhouse for any task plenty.Thine architecture, like a finely woven tapestry,Doth deliver performance with utmost efficacy.The tasks that once did vex and stall,With thee at helm, they crumble and fall.Thy clock speeds dance with lightning's might,Bringing forth swiftness to computations in sight.From gaming realms to design and creation,Thou art a boon to any technological vocation.Thy cores, like warriors in a grand parade,March in harmony, their power never to fade.Multitasking prowess, they do exhibit,As thou handleth multiple tasks, never to quit.Though thou art not the most noble in Intel's line,Thy value and power, they doth brightly shine.For those who seek a balance of might and cost,Thou art a choice that shall not be lost.So, let us raise our voices in great acclaim,To Intel Core i5-13600K, a processor of fame.In the realm of computing, thou reigneth high,A true companion for those who reach the sky."
Nick,5,good CPU,N/A,good CPU
Ron P.,5,"Very fast, Lots of Cores, Great transcoding",N/A,"I bought this CPU for a media/storage server I was building and I have not been disappointed. I am running Unraid OS with a number of Docker containers including Plex as well as virtual machines. Having 20 vCpus is awesome for some low requirement virtual machines and it's transcoding ability is great for Plex.A big reason I built a media server in the first place was to store my raw camera footage from storm chasing which is 4k 10bit which creates playback problems on a lot of hardware, it's just too large. I stood up a Plex docker container and added my footage and this CPU handles transcoding and streaming my videos no problem and it's great to go back and easily re-live some of those storms.We also have a growing library of TV shows and Movies and it also handles streaming those as well.I imagine this CPU would be awesome for gaming as well, but I don't have any experience with this chip and gaming but there are plenty of reviews that do go over that.Overall I'm happy with my purchase and would easily recommend this chip to anyone building a media server."
Deadeye,5,Amazing processor!,N/A,"Going from an old 4790K to this thing is like going from a biplane to the Concorde jet! This processor will crush any game out there. My main game is Flight simulator and the price to performance boost is outstanding. My old 1080SC is now the bottleneck in my system but both of them together makes even flying a helicopter in downtown New York, on multi-player, on ""high-end"" settings smooth as butter and the processor just sits at 55-60c! Amazing! The final piece of my new build was 32gb of corsair vengeance and I couldn't be happier unless I won the lotto.If you just need a solid gaming chip and don't want to break the bank, run, don't walk, to get this in your system today.BTW, I built my system using an ASUS ROG STRIX mITX, in an nr200p case and the Mugen 5 rev C does a great job keeping it cool using MX-6 thermal paste. The best part? It all fits neatly on my desk in my room. If you were waiting to build a new computer, now is the time. A 13th gen processor, DDR5 ram, a decent video card and a few SSDs and you'll be all set for the rest of the decade."
Martin,5,Excellent budget CPU,N/A,Best price-to-performance ratio in a CPU you would find today
Blue Sky,5,Great for a new computer build.,N/A,This is a very good CPU especially for the price. I love fast computers and don't see any reason to spend a lot more for very marginal gains.
honey the monster,5,This chip is a SCREAMER. Sleeper i5. Performs in the i9 tier. Get it.,N/A,"I LOVE THIS CPU. It's marketed as a value chip for the performance conscious gamer - at least in the reviews I've seen but that misses the mark. At 70 fewer watts than the i9-13900K you can actually cool the thing on air and enjoy similar single core performance, and with a respectable multicore performance score as well.My chip actually runs faster than Passmark says it should, but that might be because of my RAM. I got the K chip to get faster DDR5 speeds, not faster clock speeds, since I'm on air cooled, but at 5.1GHz I'm not for want of more cycles.My last CPU was an AMD Ryzen 7 4750G. Respectable for its day, but when I saw the performance of this Intel I decided it was time for me to switch back.My recommendation is that if you're running an air cooled gaming system, strongly consider this chip even if you have the cash for a 13th gen i9. You'll actually be able to keep it cool with a good cooler. I use a Noctua NH-DL12 with it and it's great."
Abraham,5,Just perfect,N/A,Very fast and everything works just perfect with it
Kenny Zimmermann,5,Perfect,N/A,Fantastic
Jasmine,5,It's like a gaming CPU but affordable,N/A,"The superhero of chips, nough' said. 10/10 -IGN"
Dan,5,Gaming value champ,N/A,"If you are building a PC for gaming, look no further than this CPU. Just built a SFF PC with this bad boy and an rtx 4070 for 1440p focused gaming and it absolutely dominates. Getting 240 frames in Overwatch 2 and consistently 200 FPS in single player games in high quality."
James Burroughs,5,Still picking my jaw up off the floor!!! Cowabunga!!!,N/A,"I am extremally happy with this CPU. Blazing fast and very stable, runs supper cool. I am only running a dual fan cooler and it idles at 24c and when iRacing stays in hi 40's to low 50's. Only game/ Simulator I use is iRacing. I use some hi-tech 3d modeling programs. Both really stress the CPU. I love this unit, cheap but loads of features."
Hugo Stiglitz,5,Monster CPU for the price,N/A,"I'm sure it'll be obsolete by the time someone reads this but right now this is the best CPU for the money.Just look at the benchmark scores. It beats even the best cpus from 2 or 3 years ago and beats i7s from Intels 12th gen easilyIts great for video and audio editing. If it's for gaming, you'll be good with this for 10 years if the last 10 is anything to go by. And you can overclock it too to get even more out of it"
E_The_Real_Dragon,5,FAST FAST FAST,N/A,"Absolute best bang for the buck...  I wanted to go i9 or at least i7 but with this latest round of intel processors, the extra $100-$150 per upgrade just did not seem worth it. I am very happy with my i5. Paired with an RTX 3060 TI, I am running super smooth with ultra graphics on most games that I am playing.. Currently playing Hogwarts in 4k borderless ultra graphics and ray tracing and maintaining 60 fps on a 4k television... Love it. It is so much faster and smoother than my other PC running the latest AMD processor."
Jason,5,Hot and Fast,N/A,"This CPU runs real fast when paired with good RAM. I'm hitting 25,500 in cinebench r23 multi core workload. I manually overclocked it to 5.3ghz p-core, 4.6ghz e-core. It definitely produces a lot of heat, so make sure to get a big AIO or high end air cooler. You do not want to cheap out on a cooling solution or else you'll be leaving performance on the table.Only gripe with this cpu is the fact that intel markets this as a 14 core cpu, even when the e-cores aren't exactly a big deal in game. Those p-cores do real good work, but the e-cores are lacking. I don't like the $300+ price tag on this, but it does beat Ryzen 7000 series, so I'm satisfied with my purchase."
Patrick Tierney,5,This CPU is very fast.,N/A,The 13th gen cpu's from intel are very impressive. This i5 is no slouch either and can throw its wieght around with the i7 and i9s of previous generations. In Cinebench i got a score of 23605 points. I have an aio 360 ml cooler on it and my temps rarely get above 50c when Im gaming or editing. At idle it stays around 30c. Under load the temps did not go above 80c. This CPU will pair fine with any gaming setup and its ddr5 compatible with is a bonus.
Michelle,5,Beast of a cpu,N/A,"This cpu can handle 4k at max like making ice cream, and with a 4060 ti is just a cherry on top!Beast of a cpu."
Jorvial,5,Nice,N/A,"Up to standards. Worried at the beginning since the processor was not set in place inside the box, but still works normally."
J,5,Good cpu,N/A,"I built my mom a new pc with this cpu. It is really fast! Her last computer was 10 years old, this should last at least that long. The on board video this chip supplies works great for what she does which is email, YouTube, ms office."
Brandon,5,Good and Hot,N/A,Absolute upgrade compared to my previous CPU but this one spits out heat like the summer sun. I believe you might want to invest with a good CPU cooler and properly do your install but it'll work like a champ.
Shenanigans,5,Runs cool with air cooling,N/A,Overclocked with basic settings on a z790 mobo. 5.3ghz easy and maxes at 54 degrees c. under load. I upgraded mobo and cpu from a i7 7700k so I could get windows 11 and reduce my windows boot times from 2 minutes to about 8 seconds.
